Area,File,PAN,PAS,Both
318,318blast2demPAN_Slope_DEM.tif,Y,N,N
320,320blast2demPAN_DEM_Slope.tif,Y,N,N
321,321blast2demPAN_Slope_DEM.tif,Y,N,N
322,322blast2demPAS_Slope_DEM.tif,N,Y,N
323,323blast2demPAN_Slope_DEM.tif,Y,N,N
324,324blast2demPAS_Slope_DEM.tif,N,Y,N
325,325blast2demPAN_Slope_DEM.tif,Y,N,N
326,326blast2demPAS_Slope_DEM.tif,N,Y,N
327,327blast2demPAS_Slope_DEM.tif,N,Y,N
328,328blast2demPAS_Slope_DEM.tif,N,Y,N
329,329blast2demPAN_Slope_DEM.tif,Y,Y,Y
330,330blast2demPAN_Slope_DEM.tif,Y,N,N
331,331blast2demPAN_Slope_DEM.tif,Y,N,N
332,332blast2demPAS_Slope_DEM.tif,N,Y,N
333,333blast2demPAN_Slope_DEM.tif,Y,N,N
335,335blast2demPAN_Slope_DEM.tif,Y,N,N
